merchant_id,business_category,business_age,country,monthly_revenue,avg_transaction_value,chargeback_ratio,negative_reviews_ratio,previous_fraud_reports,suspicious_activity_flag,is_fraud
M00035,Grocery,8,Germany,35475,2852,0.27,0.26,2,Yes,1
M00036,Retail,17,USA,23380,3053,0.26,0.28,2,No,1
M00037,Grocery,33,Germany,142260,2380,0.12,0.03,7,No,1
M00038,Electronics,5,France,119208,4464,0.27,0.32,2,Yes,1
M00039,Retail,25,USA,115872,972,0.02,0.14,2,Yes,1
M00040,Clothing,45,Canada,172218,3389,0.15,0.1,7,No,1
M00041,Retail,11,USA,153563,3930,0.05,0.1,9,Yes,1
M00042,Pharmacy,44,Brazil,36570,3186,0.13,0.16,10,Yes,1
M00043,Grocery,22,UK,35289,2941,0.28,0.28,9,Yes,1
M00044,Clothing,5,France,180608,831,0.15,0.37,10,No,1
M00045,Clothing,4,UK,39713,4599,0.25,0.26,4,No,1
M00046,Automotive,18,France,177200,1290,0.24,0.4,6,Yes,1
M00047,Retail,43,India,85283,1641,0.06,0.35,0,Yes,1
M00048,Electronics,22,Canada,118692,3591,0.03,0.1,8,Yes,1
M00049,Retail,7,India,85247,3580,0.17,0.16,1,No,0
M00050,Retail,29,India,53682,2777,0.01,0.37,7,No,1
M00051,Electronics,10,Australia,169182,466,0.14,0.21,4,Yes,1
M00052,Pharmacy,35,Brazil,196589,1368,0.14,0.18,6,No,1
M00053,Retail,17,Canada,10429,2244,0.08,0.17,7,No,1
M00054,Grocery,6,USA,101827,3354,0.11,0.13,5,No,0
M00055,Grocery,24,UK,90952,2217,0.2,0.28,0,Yes,1
M00056,Automotive,37,UK,164702,1551,0.01,0.2,7,No,1
M00057,Grocery,46,Australia,63895,416,0.02,0.28,3,Yes,1
M00058,Clothing,23,UK,131089,2707,0.18,0.13,8,No,1
M00059,Services,19,UK,85588,1364,0.06,0.07,10,Yes,1
M00060,Retail,6,Germany,22351,838,0.16,0.4,9,No,1
M00061,Services,6,UK,133062,325,0.11,0.26,5,No,0
M00062,Clothing,23,USA,168250,2835,0.04,0.31,2,No,0
M00063,Automotive,33,France,134757,2088,0.02,0.13,2,Yes,1
M00064,Services,33,Brazil,167847,3120,0.2,0.17,6,No,1
M00065,Services,30,Brazil,43865,4694,0.21,0.25,9,No,1
M00066,Pharmacy,47,India,186443,356,0.18,0.14,8,Yes,1
M00067,Retail,44,India,114381,4660,0.18,0.07,4,Yes,1
M00068,Electronics,16,Brazil,142298,2364,0.0,0.37,8,Yes,1
M00069,Retail,19,Canada,98211,3065,0.1,0.36,8,Yes,1
M00070,Electronics,5,Canada,121741,3589,0.2,0.25,7,Yes,1
M00071,Retail,2,Germany,153465,4287,0.13,0.3,6,No,1
M00072,Clothing,50,Brazil,87578,1270,0.11,0.1,10,No,1
M00073,Grocery,31,Australia,69570,4232,0.04,0.05,3,No,0
M00074,Grocery,25,Canada,121518,2324,0.19,0.33,8,Yes,1
M00075,Automotive,31,India,97322,235,0.1,0.22,9,Yes,1
M00076,Retail,4,Germany,56791,1265,0.06,0.21,1,No,0
M00077,Automotive,4,USA,11181,1908,0.13,0.11,7,No,1
M00078,Electronics,23,India,76982,1207,0.17,0.19,2,No,0
M00079,Electronics,7,France,143441,2435,0.06,0.05,6,No,1
M00080,Retail,28,USA,191474,519,0.04,0.08,10,Yes,1
M00081,Retail,48,India,45662,2214,0.02,0.3,1,No,0
M00082,Retail,12,France,14893,2157,0.15,0.33,3,Yes,1
M00083,Clothing,23,UK,73206,2500,0.16,0.16,9,Yes,1
M00084,Clothing,1,UK,44484,3711,0.18,0.35,4,Yes,1
M00085,Pharmacy,16,UK,18377,4425,0.25,0.01,6,Yes,1
M00086,Pharmacy,35,UK,194038,39,0.2,0.0,0,Yes,1
M00087,Clothing,49,Canada,44994,4754,0.16,0.14,6,No,1
M00088,Grocery,29,UK,72209,2968,0.27,0.32,3,Yes,1
M00089,Grocery,19,Germany,104477,2933,0.02,0.28,7,Yes,1
M00090,Retail,8,Germany,8839,791,0.13,0.24,10,No,1
M00091,Retail,33,France,42407,2024,0.03,0.26,4,No,0
M00092,Electronics,16,USA,144663,3902,0.13,0.23,5,No,0
M00093,Electronics,5,India,30457,2800,0.02,0.31,0,No,0
M00094,Automotive,28,Australia,52393,1669,0.05,0.16,1,No,0
M00095,Automotive,9,France,58292,4554,0.07,0.1,2,Yes,1
M00096,Automotive,8,Australia,173712,1120,0.05,0.01,7,Yes,1
M00097,Automotive,45,Brazil,64548,1117,0.27,0.18,6,No,1
M00098,Grocery,36,Germany,168871,1587,0.09,0.19,5,No,0
M00099,Electronics,12,Germany,114476,2512,0.07,0.35,2,No,0
M00100,Grocery,45,Germany,48828,984,0.15,0.12,7,Yes,1
M00101,Retail,26,USA,20178,3365,0.16,0.22,5,Yes,1
M00102,Clothing,32,Australia,191093,994,0.25,0.07,7,Yes,1
M00103,Clothing,23,Germany,17590,3912,0.02,0.2,7,No,1
M00104,Services,46,Brazil,31696,211,0.16,0.39,10,Yes,1
M00105,Automotive,44,Canada,169843,978,0.21,0.21,1,Yes,1
M00106,Clothing,46,France,96771,1406,0.28,0.09,2,No,1
M00107,Electronics,3,India,46866,941,0.14,0.06,8,No,1
M00108,Clothing,50,Brazil,176887,2285,0.11,0.25,3,Yes,1
M00109,Clothing,18,Canada,58320,4190,0.22,0.32,9,Yes,1
M00110,Automotive,47,Canada,120147,517,0.21,0.09,2,No,1
M00111,Grocery,38,Canada,54871,1221,0.06,0.0,4,Yes,1
M00112,Pharmacy,10,India,93431,3211,0.03,0.16,5,No,0
M00113,Pharmacy,9,Canada,17835,3430,0.12,0.27,5,Yes,1
M00114,Services,28,UK,107724,1269,0.03,0.22,5,No,0
M00115,Automotive,37,USA,58521,28,0.17,0.26,4,No,0
M00116,Grocery,39,UK,12184,4889,0.03,0.05,3,No,0
M00117,Grocery,47,India,164363,3810,0.22,0.24,5,No,1
M00118,Clothing,27,Germany,153446,1945,0.22,0.08,8,No,1
M00119,Grocery,27,France,6045,206,0.15,0.36,5,No,0
M00120,Retail,45,India,118640,4638,0.2,0.25,6,No,1
M00121,Clothing,18,Brazil,59460,3639,0.06,0.16,4,No,0
M00122,Electronics,11,India,150626,1312,0.28,0.36,2,No,1
M00123,Electronics,27,Canada,163864,4187,0.16,0.2,5,No,0
M00124,Retail,38,India,9518,4956,0.24,0.35,10,No,1
M00125,Automotive,35,UK,167608,4616,0.27,0.24,7,Yes,1
M00126,Pharmacy,32,USA,146299,4743,0.17,0.35,10,No,1
M00127,Electronics,31,Germany,156704,3046,0.13,0.01,10,No,1
M00128,Clothing,14,Australia,191933,696,0.24,0.08,2,Yes,1
M00129,Pharmacy,3,Brazil,13391,1587,0.27,0.3,2,Yes,1
M00130,Services,2,UK,181350,4687,0.1,0.23,5,Yes,1
M00131,Electronics,49,Germany,51819,1020,0.11,0.31,4,Yes,1
M00132,Retail,10,UK,129846,3609,0.06,0.08,7,No,1
M00133,Retail,31,Australia,151207,1005,0.01,0.01,9,No,1
M00134,Services,49,Australia,153834,4863,0.13,0.18,2,No,0
M00135,Pharmacy,35,France,113543,2901,0.09,0.14,7,Yes,1
M00136,Pharmacy,1,Australia,13102,4065,0.23,0.01,2,Yes,1
M00137,Pharmacy,28,UK,124945,3428,0.23,0.06,3,Yes,1
M00138,Electronics,3,UK,148521,2909,0.12,0.0,8,No,1
M00139,Services,40,UK,68944,258,0.28,0.21,5,Yes,1
M00140,Pharmacy,46,India,52946,2381,0.1,0.23,8,Yes,1
M00141,Automotive,5,UK,172502,3666,0.22,0.01,6,No,1
M00142,Pharmacy,25,Germany,57607,2716,0.17,0.03,1,Yes,1
M00143,Services,26,India,73125,550,0.03,0.3,6,Yes,1
M00144,Grocery,37,Brazil,167514,4031,0.24,0.1,5,No,1
M00145,Automotive,11,India,22256,508,0.2,0.26,1,Yes,1
M00146,Electronics,7,France,122475,3126,0.12,0.38,3,No,0
M00147,Clothing,49,Brazil,137827,33,0.26,0.22,8,Yes,1
M00148,Clothing,22,USA,36078,16,0.27,0.22,3,Yes,1
M00149,Electronics,30,India,173567,3583,0.11,0.16,7,No,1
M00150,Grocery,27,Australia,75161,2566,0.03,0.03,4,No,0
M00151,Retail,32,USA,8116,4845,0.1,0.39,4,Yes,1
M00152,Retail,41,UK,25432,149,0.26,0.17,4,Yes,1
M00153,Grocery,1,Canada,51584,3876,0.25,0.09,3,No,1
M00154,Clothing,27,Germany,196801,850,0.07,0.2,3,Yes,1
M00155,Clothing,42,Australia,33033,997,0.24,0.39,8,Yes,1
M00156,Electronics,8,France,6125,3381,0.2,0.34,9,No,1
M00157,Services,12,UK,117274,1002,0.0,0.06,7,No,1
M00158,Electronics,3,USA,178800,4064,0.22,0.09,8,No,1
M00159,Pharmacy,7,Canada,106654,390,0.3,0.4,3,No,1
M00160,Automotive,27,Brazil,65519,1111,0.2,0.31,3,Yes,1
M00161,Services,30,India,167194,1440,0.15,0.33,10,Yes,1
M00162,Retail,26,France,10659,3824,0.26,0.08,2,No,1
M00163,Grocery,37,UK,106855,4555,0.06,0.04,2,No,0
M00164,Pharmacy,38,Australia,134351,709,0.01,0.14,2,Yes,1
M00165,Pharmacy,44,USA,94736,3643,0.24,0.32,9,No,1
M00166,Electronics,31,India,157662,1111,0.08,0.39,2,Yes,1
M00167,Pharmacy,41,Canada,79650,1241,0.26,0.04,5,Yes,1
M00168,Retail,17,Australia,55870,3212,0.2,0.03,8,No,1
M00169,Clothing,18,France,160690,4114,0.25,0.18,2,No,1
M00170,Grocery,21,USA,162361,3831,0.02,0.13,6,Yes,1
M00171,Clothing,11,Australia,35931,2979,0.28,0.11,7,No,1
M00172,Grocery,50,UK,72602,4883,0.15,0.14,10,No,1
M00173,Services,9,India,40025,2367,0.22,0.3,8,Yes,1
M00174,Grocery,39,Canada,84578,4227,0.25,0.16,4,No,1
M00175,Clothing,24,USA,92760,4411,0.28,0.09,6,No,1
M00176,Pharmacy,49,UK,30093,2551,0.01,0.23,8,Yes,1
M00177,Services,4,Canada,183638,402,0.12,0.23,6,No,1
M00178,Electronics,39,UK,82403,329,0.1,0.06,3,No,0
M00179,Retail,22,India,171645,1001,0.29,0.15,9,Yes,1
M00180,Electronics,15,Australia,117796,1687,0.18,0.18,2,Yes,1
M00181,Retail,3,France,107520,1195,0.21,0.35,10,No,1
M00182,Clothing,21,Canada,116034,2628,0.3,0.31,6,Yes,1
M00183,Clothing,41,India,135334,2200,0.25,0.19,10,No,1
M00184,Services,34,France,160495,4689,0.29,0.39,9,Yes,1
M00185,Pharmacy,28,UK,141384,3679,0.13,0.13,5,Yes,1
M00186,Clothing,1,UK,29524,4190,0.27,0.17,8,No,1
M00187,Pharmacy,14,France,199001,3120,0.08,0.36,5,No,0
M00188,Clothing,2,UK,10611,3444,0.29,0.29,9,Yes,1
M00189,Services,37,Germany,195679,1832,0.14,0.26,7,Yes,1
M00190,Grocery,16,France,131524,1840,0.1,0.08,3,No,0
M00191,Services,22,France,116532,4403,0.27,0.26,1,No,1
M00192,Services,24,USA,63309,1631,0.1,0.24,10,Yes,1
M00193,Clothing,16,Australia,101509,4999,0.11,0.37,3,No,0
M00194,Automotive,13,Germany,188418,942,0.28,0.09,10,No,1
M00195,Retail,7,UK,76705,2273,0.15,0.27,8,No,1
M00196,Electronics,26,Australia,69337,1140,0.24,0.28,10,Yes,1
M00197,Electronics,48,USA,143447,4945,0.21,0.36,0,No,1
M00198,Grocery,36,France,114198,860,0.07,0.39,10,No,1
M00199,Automotive,22,Australia,113915,753,0.05,0.23,3,No,0
M00200,Automotive,12,France,151960,4882,0.21,0.24,0,Yes,1
M00201,Automotive,43,USA,60446,2509,0.03,0.29,0,Yes,1
M00202,Clothing,19,Canada,151836,4153,0.26,0.14,3,No,1
M00203,Pharmacy,10,UK,48260,4844,0.26,0.1,7,Yes,1
M00204,Grocery,50,Australia,127130,2455,0.02,0.37,8,Yes,1
M00205,Automotive,45,Germany,194963,820,0.06,0.28,9,No,1
M00206,Grocery,3,France,115837,4807,0.13,0.05,5,Yes,1
M00207,Services,2,Brazil,153996,354,0.26,0.28,0,Yes,1
M00208,Automotive,31,Brazil,111150,1523,0.14,0.39,5,Yes,1
M00209,Pharmacy,12,Brazil,172072,3277,0.26,0.39,4,No,1
M00210,Services,49,Brazil,13712,3888,0.07,0.08,4,Yes,1
M00211,Clothing,13,Germany,186769,3756,0.24,0.02,7,No,1
M00212,Services,23,France,19457,1490,0.08,0.22,5,Yes,1
M00213,Services,45,Canada,119775,1462,0.18,0.23,8,Yes,1
M00214,Services,30,Australia,13316,1937,0.04,0.21,1,No,0
M00215,Pharmacy,14,UK,16021,1890,0.27,0.31,7,No,1
M00216,Clothing,47,Australia,27602,860,0.15,0.25,2,No,0
M00217,Electronics,48,India,38917,143,0.03,0.19,3,Yes,1
M00218,Services,16,Germany,114119,4959,0.2,0.18,0,No,0
M00219,Automotive,27,USA,173068,4256,0.22,0.35,5,Yes,1
M00220,Retail,44,Germany,8896,3449,0.09,0.39,0,No,0
M00221,Automotive,7,France,23917,73,0.0,0.16,5,Yes,1
M00222,Electronics,20,UK,132212,4681,0.1,0.19,2,No,0
M00223,Retail,36,Brazil,54728,4375,0.21,0.04,9,Yes,1
M00224,Grocery,36,Australia,143152,4800,0.26,0.13,0,Yes,1
M00225,Retail,47,France,33216,1935,0.14,0.3,10,Yes,1
M00226,Clothing,3,UK,187780,418,0.21,0.18,8,No,1
M00227,Clothing,40,Canada,21388,1688,0.26,0.39,2,No,1
M00228,Clothing,11,India,138152,2957,0.28,0.21,9,Yes,1
M00229,Retail,36,France,62092,2983,0.24,0.39,7,No,1
M00230,Grocery,49,USA,164977,928,0.25,0.06,5,No,1
M00231,Automotive,19,USA,43936,2824,0.27,0.21,5,No,1
M00232,Grocery,24,Australia,42914,4606,0.04,0.26,7,Yes,1
M00233,Services,41,India,122872,2269,0.07,0.39,3,No,0
M00234,Automotive,45,India,62098,1140,0.28,0.3,4,No,1
M00235,Electronics,40,France,130537,3833,0.27,0.28,2,No,1
M00236,Electronics,50,UK,104507,616,0.05,0.38,1,No,0
M00237,Electronics,24,USA,81024,2256,0.13,0.35,7,Yes,1
M00238,Services,33,UK,36795,1728,0.23,0.17,4,No,1
M00239,Automotive,27,India,9855,4567,0.12,0.29,10,No,1
M00240,Grocery,35,Australia,10800,1200,0.22,0.36,10,No,1
M00241,Grocery,19,Australia,28468,3299,0.21,0.26,1,Yes,1
M00242,Retail,4,India,176664,312,0.17,0.04,2,No,0
M00243,Grocery,46,Germany,144473,2655,0.02,0.17,9,No,1
M00244,Services,7,India,196843,3330,0.18,0.17,10,No,1
M00245,Pharmacy,24,UK,25477,1143,0.24,0.13,0,Yes,1
M00246,Pharmacy,19,France,17325,4834,0.21,0.17,1,No,1
M00247,Services,25,USA,119086,3796,0.29,0.19,3,No,1
M00248,Clothing,22,Brazil,9177,132,0.07,0.32,5,Yes,1
M00249,Grocery,42,Germany,125137,3049,0.12,0.4,0,Yes,1
M00250,Clothing,19,France,83492,4601,0.25,0.26,6,Yes,1
M00251,Retail,20,UK,164949,1037,0.08,0.16,3,Yes,1
M00252,Services,39,Germany,5434,369,0.27,0.03,8,No,1
M00253,Electronics,29,Canada,172736,2963,0.01,0.13,1,No,0
M00254,Retail,18,UK,193818,2570,0.13,0.17,6,Yes,1
M00255,Retail,4,USA,49334,629,0.03,0.27,8,Yes,1
M00256,Services,30,Germany,40985,3025,0.23,0.19,9,No,1
M00257,Grocery,14,France,42695,107,0.0,0.31,1,No,0
M00258,Electronics,35,France,30440,4524,0.28,0.32,2,Yes,1
M00259,Retail,14,Germany,189045,2499,0.16,0.23,7,No,1
M00260,Electronics,48,Australia,104007,4520,0.06,0.1,9,Yes,1
M00261,Grocery,5,Canada,100933,945,0.13,0.03,7,No,1
M00262,Clothing,24,UK,108526,1480,0.24,0.19,4,Yes,1
M00263,Pharmacy,20,Brazil,141776,1383,0.25,0.02,4,No,1
M00264,Automotive,6,Australia,149295,2155,0.2,0.17,7,No,1
M00265,Services,35,USA,13406,456,0.14,0.35,10,Yes,1
M00266,Pharmacy,6,UK,35770,3078,0.21,0.09,7,Yes,1
M00267,Electronics,32,UK,133046,2524,0.02,0.04,1,No,0
M00268,Automotive,2,France,67692,2390,0.27,0.37,9,Yes,1
M00269,Clothing,30,Germany,105775,1856,0.01,0.22,1,Yes,1
M00270,Automotive,17,France,138920,2052,0.11,0.38,10,Yes,1
M00271,Electronics,8,UK,13427,623,0.12,0.02,9,Yes,1
M00272,Retail,46,Brazil,24205,4169,0.29,0.16,9,No,1
M00273,Services,49,India,91155,1897,0.08,0.18,5,No,0
M00274,Retail,5,Brazil,78458,829,0.05,0.24,3,Yes,1
M00275,Clothing,36,UK,80954,3361,0.1,0.24,8,Yes,1
M00276,Automotive,39,Germany,67153,1465,0.09,0.33,8,No,1
M00277,Clothing,18,Canada,40001,380,0.15,0.27,8,Yes,1
M00278,Electronics,2,India,63036,3981,0.24,0.03,9,Yes,1
M00279,Retail,36,Australia,64809,99,0.17,0.09,4,No,0
M00280,Automotive,11,India,36568,4281,0.28,0.35,1,Yes,1
M00281,Grocery,5,France,69968,777,0.22,0.02,0,No,1
M00282,Automotive,35,USA,169043,2690,0.06,0.29,1,Yes,1
M00283,Retail,48,USA,120762,2377,0.2,0.09,8,Yes,1
M00284,Pharmacy,33,Brazil,46102,4828,0.08,0.29,2,No,0
M00285,Pharmacy,8,USA,13267,417,0.27,0.11,5,Yes,1
M00286,Retail,25,USA,38931,2595,0.23,0.26,9,No,1
M00287,Services,2,Brazil,20730,2339,0.17,0.0,7,No,1
M00288,Electronics,1,USA,47488,3498,0.15,0.4,5,Yes,1
M00289,Grocery,27,France,143879,4897,0.29,0.08,1,No,1
M00290,Clothing,21,Brazil,73257,4219,0.19,0.17,8,Yes,1
M00291,Grocery,6,Australia,179701,4634,0.2,0.03,10,No,1
M00292,Services,8,India,17444,4119,0.04,0.01,8,Yes,1
M00293,Pharmacy,12,UK,164062,3953,0.04,0.31,8,No,1
M00294,Retail,31,Germany,160811,3598,0.24,0.35,8,No,1
M00295,Services,20,France,12254,4358,0.0,0.32,5,Yes,1
M00296,Electronics,23,USA,171139,3119,0.13,0.21,7,No,1
M00297,Retail,28,France,192235,4873,0.11,0.34,0,No,0
M00298,Grocery,27,Australia,113316,4473,0.03,0.37,0,Yes,1
M00299,Pharmacy,35,India,146089,837,0.05,0.18,1,Yes,1
M00300,Retail,7,Australia,131688,1455,0.28,0.18,4,Yes,1
M00301,Services,33,UK,68031,625,0.26,0.12,3,No,1
M00302,Pharmacy,10,Australia,152778,4835,0.19,0.14,8,No,1
M00303,Grocery,27,Germany,127620,2176,0.12,0.22,3,Yes,1
M00304,Electronics,24,USA,106314,1774,0.17,0.14,5,Yes,1
M00305,Pharmacy,39,France,134199,3634,0.13,0.32,0,Yes,1
M00306,Services,46,India,87084,3223,0.15,0.23,10,Yes,1
M00307,Automotive,9,Germany,143063,191,0.23,0.37,5,Yes,1
M00308,Grocery,9,France,170460,2221,0.16,0.13,1,No,0
M00309,Services,26,UK,10161,267,0.1,0.39,1,No,0
M00310,Clothing,34,Brazil,120884,838,0.08,0.29,5,Yes,1
M00311,Clothing,20,Canada,58188,2525,0.23,0.27,10,No,1
M00312,Automotive,12,India,51763,528,0.02,0.06,3,Yes,1
M00313,Electronics,48,Canada,118038,719,0.15,0.19,8,Yes,1
M00314,Clothing,31,India,197232,1265,0.25,0.12,6,No,1
M00315,Automotive,40,Canada,122704,1844,0.12,0.26,4,No,0
M00316,Services,14,Canada,126624,4581,0.1,0.26,3,Yes,1
M00317,Pharmacy,6,Australia,92058,2929,0.02,0.06,10,No,1
M00318,Clothing,10,UK,117085,1008,0.08,0.18,2,Yes,1
M00319,Retail,18,Canada,46441,3179,0.03,0.36,5,No,0
M00320,Automotive,41,Canada,123536,3297,0.05,0.15,0,No,0
M00321,Retail,15,Canada,194425,2669,0.15,0.17,9,No,1
M00322,Retail,42,France,57482,1066,0.28,0.13,10,Yes,1
M00323,Automotive,10,Australia,24982,764,0.12,0.19,9,Yes,1
M00324,Services,26,USA,198101,3183,0.18,0.02,10,No,1
M00325,Retail,42,Brazil,73118,3453,0.06,0.04,5,Yes,1
M00326,Grocery,40,France,95145,1508,0.2,0.14,10,No,1
M00327,Retail,49,Germany,79995,716,0.3,0.23,7,No,1
M00328,Services,19,Germany,99095,1501,0.17,0.07,2,No,0
M00329,Electronics,10,Germany,58246,4558,0.11,0.26,9,No,1
M00330,Grocery,21,Australia,180075,2590,0.05,0.17,8,No,1
M00331,Automotive,3,Canada,113464,3802,0.25,0.2,10,No,1
M00332,Pharmacy,23,Brazil,184632,2071,0.04,0.33,4,Yes,1
M00333,Retail,13,Australia,109284,2815,0.09,0.39,1,Yes,1
M00334,Electronics,32,Australia,76486,4681,0.19,0.16,4,Yes,1
M00335,Automotive,5,UK,65521,1172,0.0,0.19,3,No,0
M00336,Retail,1,India,63907,4844,0.05,0.09,10,No,1
M00337,Automotive,49,France,30294,3762,0.29,0.33,4,Yes,1
M00338,Automotive,18,Australia,142772,4220,0.08,0.37,0,No,0
M00339,Clothing,45,USA,167185,2270,0.13,0.15,1,No,0
M00340,Clothing,35,Germany,43311,693,0.25,0.18,8,Yes,1
M00341,Clothing,20,Australia,192155,2707,0.21,0.34,3,Yes,1
M00342,Electronics,27,Australia,107393,2293,0.11,0.15,1,No,0
M00343,Pharmacy,9,India,176579,1533,0.19,0.31,5,No,0
M00344,Grocery,11,Australia,64767,3743,0.2,0.39,0,No,0
M00345,Services,41,India,84247,2425,0.17,0.01,3,Yes,1
M00346,Grocery,11,USA,55466,2119,0.19,0.19,3,No,0
M00347,Retail,12,UK,29405,2697,0.18,0.4,3,No,0
M00348,Automotive,45,USA,60619,2712,0.26,0.39,6,Yes,1
M00349,Electronics,47,Brazil,168625,4531,0.16,0.17,8,Yes,1
M00350,Clothing,11,India,65210,400,0.15,0.14,0,Yes,1
M00351,Grocery,5,USA,29466,30,0.04,0.11,6,No,1
M00352,Clothing,40,Canada,89364,446,0.17,0.39,0,No,0
M00353,Electronics,6,Australia,168801,3859,0.29,0.11,4,Yes,1
M00354,Retail,49,UK,180625,3696,0.28,0.02,4,Yes,1
M00355,Pharmacy,6,Australia,89555,1324,0.27,0.16,3,Yes,1
M00356,Grocery,32,USA,146791,3725,0.02,0.24,2,No,0
M00357,Automotive,43,Germany,112397,4574,0.03,0.21,1,Yes,1
M00358,Electronics,34,Brazil,34055,237,0.03,0.06,1,Yes,1
M00359,Clothing,29,USA,124359,368,0.07,0.06,4,No,0
M00360,Pharmacy,17,Canada,118038,882,0.04,0.14,1,Yes,1
M00361,Clothing,4,India,173749,4917,0.28,0.11,9,No,1
M00362,Grocery,21,UK,86015,3831,0.13,0.04,6,Yes,1
M00363,Automotive,21,Canada,133935,521,0.09,0.06,3,Yes,1
M00364,Services,47,Germany,55746,4382,0.07,0.23,7,No,1
M00365,Automotive,25,Germany,94416,859,0.19,0.13,9,No,1
M00366,Electronics,6,Brazil,77625,3538,0.16,0.22,3,Yes,1
M00367,Retail,30,UK,14895,3891,0.14,0.07,7,Yes,1
M00368,Retail,46,Canada,181479,424,0.15,0.04,8,No,1
M00369,Electronics,33,UK,36621,2827,0.13,0.04,7,Yes,1
M00370,Services,43,USA,43750,1147,0.01,0.26,6,Yes,1
M00371,Grocery,21,Australia,81395,3872,0.02,0.11,0,Yes,1
M00372,Grocery,42,France,123115,416,0.26,0.38,1,Yes,1
M00373,Pharmacy,20,UK,170712,1572,0.04,0.04,8,Yes,1
M00374,Automotive,36,UK,95090,1740,0.18,0.2,8,No,1
M00375,Electronics,36,India,126097,2587,0.15,0.18,2,No,0
M00376,Clothing,19,Germany,19072,2911,0.05,0.1,4,Yes,1
M00377,Grocery,21,Canada,88010,4858,0.12,0.38,2,No,0
M00378,Retail,3,India,69413,3742,0.22,0.26,7,Yes,1
M00379,Grocery,10,France,184977,3339,0.29,0.25,8,Yes,1
M00380,Clothing,28,Brazil,127395,1764,0.13,0.25,8,Yes,1
M00381,Automotive,2,USA,193823,4461,0.29,0.08,7,Yes,1
M00382,Electronics,8,Australia,186029,1884,0.2,0.09,5,Yes,1
M00383,Pharmacy,43,Australia,56237,2717,0.01,0.04,7,Yes,1
M00384,Services,26,Germany,111491,4874,0.17,0.17,9,Yes,1
M00385,Grocery,40,Australia,156641,3654,0.29,0.05,3,No,1
M00386,Automotive,3,USA,106110,1432,0.04,0.18,2,No,0
M00387,Pharmacy,23,USA,165143,2089,0.18,0.22,3,Yes,1
M00388,Retail,19,India,15675,1491,0.25,0.04,2,No,1
M00389,Pharmacy,30,UK,100368,1454,0.06,0.18,4,No,0
M00390,Grocery,9,India,138691,631,0.15,0.18,6,Yes,1
M00391,Automotive,26,Brazil,159739,2328,0.05,0.1,10,No,1
M00392,Electronics,38,Canada,163236,1519,0.05,0.05,8,No,1
M00393,Electronics,37,India,15134,120,0.3,0.19,6,Yes,1
M00394,Grocery,27,UK,65670,3796,0.12,0.26,0,Yes,1
M00395,Automotive,27,India,110063,4093,0.19,0.09,10,No,1
